id,sitio_web
bitcoin,bitcoin.org
ethereum,ethereum.org
tether,tether.to
binancecoin,bnbchain.org
solana,solana.com
usd-coin,circle.com
ripple,ripple.com
dogecoin,dogecoin.com
cardano,cardano.org
tron,trondao.org
avalanche-2,avax.network
shiba-inu,shibatoken.com
chainlink,chain.link
bitcoin-cash,bitcoincash.org
polkadot,polkadot.network
near,near.org
litecoin,litecoin.org
internet-computer,internetcomputer.org
uniswap,uniswap.org
dai,makerdao.com
wrapped-bitcoin,wbtc.network
stellar,stellar.org
monero,getmonero.org
ethereum-classic,ethereumclassic.org
cosmos,cosmos.network
filecoin,filecoin.io
aptos,aptosfoundation.org
hedera-hashgraph,hedera.com
okb,okx.com
leo-token,ifinex.com
crypto-com-chain,cronos.org
vechain,vechain.org
algorand,algorand.com
the-graph,thegraph.com
aave,aave.com
maker,makerdao.com
quant-network,quant.network
eos,eosnetwork.com
tezos,tezos.com
theta-token,thetatoken.org
flow,onflow.org
axie-infinity,axieinfinity.com
fantom,fantom.foundation
elrond-erd-2,multiversx.com
neo,neo.org
kucoin-shares,kucoin.com
pancakeswap-token,pancakeswap.finance
decentraland,decentraland.org
the-sandbox,sandbox.game
zcash,z.cash
